Learned?,counts,year,population,percentage
1,16,2014,1550,0.01032258064516129
2,75,2014,1550,0.04838709677419355
3,549,2014,1550,0.35419354838709677
4,771,2014,1550,0.4974193548387097
5,138,2014,1550,0.08903225806451613
1,1,2015,88,0.011363636363636364
2,2,2015,88,0.022727272727272728
3,20,2015,88,0.22727272727272727
4,34,2015,88,0.38636363636363635
5,31,2015,88,0.3522727272727273
1,8,2016,249,0.0321285140562249
2,19,2016,249,0.07630522088353414
3,91,2016,249,0.3654618473895582
4,103,2016,249,0.41365461847389556
5,28,2016,249,0.11244979919678715
1,1,2017,442,0.0022624434389140274
2,8,2017,442,0.01809954751131222
3,92,2017,442,0.2081447963800905
4,225,2017,442,0.5090497737556561
5,116,2017,442,0.26244343891402716
1,3,2018,870,0.0034482758620689655
2,19,2018,870,0.021839080459770115
3,232,2018,870,0.26666666666666666
4,490,2018,870,0.5632183908045977
5,126,2018,870,0.14482758620689656
