Question,Counts,Year,population,Percentage,P/N
Aspecto Visual,2,2016,10,0.2,Positivos
Navegação na Ferramenta,2,2016,10,0.2,Positivos
Perguntas,0,2016,10,0.0,Positivos
Exemplos,1,2016,10,0.1,Positivos
Vídeos,2,2016,10,0.2,Positivos
Modelo de Negócios,0,2016,10,0.0,Positivos
Indicações de Interface,1,2016,10,0.1,Positivos
Mural de Equipa,1,2016,10,0.1,Positivos
Gestão de Equipa,0,2016,10,0.0,Positivos
Gestão de Projectos,1,2016,10,0.1,Positivos
Aspecto Visual,3,2016,10,0.3,Negativos
Navegação na Ferramenta,4,2016,10,0.4,Negativos
Perguntas,2,2016,10,0.2,Negativos
Exemplos,3,2016,10,0.3,Negativos
Vídeos,1,2016,10,0.1,Negativos
Modelo de Negócios,0,2016,10,0.0,Negativos
Indicações de Interface,2,2016,10,0.2,Negativos
Mural de Equipa,2,2016,10,0.2,Negativos
Gestão de Equipa,1,2016,10,0.1,Negativos
Gestão de Projectos,4,2016,10,0.4,Negativos
